index,xcoord,ycoord,grc,grc2,msg,msg2,uid,hnum,sname,address,address_c
0,1007176,0239548,00,"","","",26dc469deecca7921b262e571517080d,3135,PARK AVENUE,3135 PARK AVENUE,3135 PARK AVENUE
2,0990745,0214039,01,"",200 PARK AVENUE IS ON RIGHT SIDE OF EAST 45 STREET,"",78de3bdd2c96bc0849aa7747aea46bde,200,PARK AVENUE,200 PARK AVENUE,200 PARK AVENUE
3,0990745,0214039,01,"",200 PARK AVENUE IS ON RIGHT SIDE OF EAST 45 STREET,"",c2928cbf5eb2ba7ae4eef461d9539aa9,200,PARK AVENUE,200 PARK AVENUE,200 PARK AVENUE
4,1016261,0227475,00,"","","",757846acbd025da46a336ef02a94f640,15-00,HAZEN STREET,15-00 HAZEN STREET,15-00 HAZEN STREET
5,1016249,0226545,00,"","","",a3b0f0ad94d6fc5e0e0b92f94aa99522,19-19,HAZEN STREET,19-19 HAZEN STREET,19-19 HAZEN STREET
6,1016257,0227230,00,"","","",5a7fc568d18e2c469bb7ff7cdcabd776,16-00,HAZEN STREET,16-00 HAZEN STREET,16-00 HAZEN STREET
7,1016331,0228381,00,"","","",a9aa8766b146959320ef6fca4e917a3b,11-11,HAZEN STREET,11-11 HAZEN STREET,11-11 HAZEN STREET
8,1016325,0228382,00,"","","",73b00ca6e59cb1e4d262b490042effa1,10-10,HAZEN STREET,10-10 HAZEN STREET,10-10 HAZEN STREET
9,1016273,0227658,00,"","","",9f4981a4bfc266fabe86986744da287c,14-14,HAZEN STREET,14-14 HAZEN STREET,14-14 HAZEN STREET
10,1016267,0227472,00,"","","",09ad59489a14d8cade7ffb0ec8d71f65,15-15,HAZEN STREET,15-15 HAZEN STREET,15-15 HAZEN STREET
11,1016252,0226741,00,"","","",97ffce549c3b1c808954ebb32251823e,18-18,HAZEN STREET,18-18 HAZEN STREET,18-18 HAZEN STREET
12,1016326,0228721,00,"","","",7dde9c94dce7686cc6051ec885f857ad,9-09,HAZEN STREET,9-09 HAZEN STREET,9-09 HAZEN STREET
13,1016257,0227228,00,"","","",1723ef0b870b226c42a2c10e73b5e280,16-06,HAZEN STREET,16-06 HAZEN STREET,16-06 HAZEN STREET
