facdomain,facgroup,facsubgrp,factype,datasource,count_new,facdomain_old,facgroup_old,facsubgrp_old,factype_old,count_old,diff
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CITY AGENCY PARKING,LOT,dpr_parksproperties,5,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CITY AGENCY PARKING,LOT,5,0
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CITY AGENCY PARKING,OUTDOOR PARKING,dcas_colp,64,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CITY AGENCY PARKING,OUTDOOR PARKING,57,7
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CITY AGENCY PARKING,OUTDOOR PARKING - AGENCY VEHICLES,dcas_colp,36,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CITY AGENCY PARKING,OUTDOOR PARKING - AGENCY VEHICLES,37,-1
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CITY AGENCY PARKING,OUTDOOR PARKING - CLIENTS,dcas_colp,18,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CITY AGENCY PARKING,OUTDOOR PARKING - CLIENTS,17,1
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CITY AGENCY PARKING,OUTDOOR PARKING - EMPLOYEES,dcas_colp,55,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CITY AGENCY PARKING,OUTDOOR PARKING - EMPLOYEES,55,0
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CITY AGENCY PARKING,OUTDOOR PARKING - TOW POUND,dcas_colp,7,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CITY AGENCY PARKING,OUTDOOR PARKING - TOW POUND,7,0
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CUSTODIAL,CUSTODIAL,dcas_colp,44,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CUSTODIAL,CUSTODIAL,44,0
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",MAINTENANCE AND GARAGES,FACILITIES MAINTENANCE,dcas_colp,6,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",MAINTENANCE AND GARAGES,FACILITIES MAINTENANCE,6,0
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",MAINTENANCE AND GARAGES,GARAGE,dcas_colp,48,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",MAINTENANCE AND GARAGES,GARAGE,46,2
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",MAINTENANCE AND GARAGES,MAINTENANCE,dcas_colp,23,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",MAINTENANCE AND GARAGES,MAINTENANCE,22,1
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",MAINTENANCE AND GARAGES,VEHICLE MAINTENANCE,dcas_colp,14,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",MAINTENANCE AND GARAGES,VEHICLE MAINTENANCE,14,0
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,COMBINED MAINTENANCE/STORAGE FACILITY,dcas_colp,76,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,COMBINED MAINTENANCE/STORAGE FACILITY,72,4
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,INDOOR MAINTENANCE/STORAGE FACILITY,dcas_colp,3,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,INDOOR MAINTENANCE/STORAGE FACILITY,3,0
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,INDOOR STORAGE (WAREHOUSE),dcas_colp,37,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,INDOOR STORAGE (WAREHOUSE),44,-7
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,INDOOR STORAGE - BULK MATERIAL,dcas_colp,8,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,INDOOR STORAGE - BULK MATERIAL,8,0
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,INDOOR STORAGE - EQUIPMENT,dcas_colp,19,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,INDOOR STORAGE - EQUIPMENT,17,2
ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,INDOOR STORAGE - PRINTED MATERIAL/SUPPLIES,dcas_colp,3,ADMINISTRATION OF GOVERNMENT,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,INDOOR STORAGE - PRINTED MATERIAL/SUPPLIES,3,0
